epoch,train_loss,val_loss,val_mae
1,14.10733,5.95003,5.95003
2,6.15742,5.28466,5.28466
3,5.46994,5.10522,5.10522
4,5.03024,4.74226,4.74226
5,4.72871,4.44847,4.44847
6,4.48812,5.58509,5.58509
7,4.29601,4.77901,4.77901
8,4.13403,4.33556,4.33556
9,3.93569,4.42521,4.42521
10,3.84353,4.35847,4.35847
11,3.7377,4.10674,4.10674
12,3.58941,4.20769,4.20769
13,3.49942,4.08509,4.08509
14,3.36058,4.12722,4.12722
15,3.27346,4.067,4.067
16,3.19276,4.1238,4.1238
17,3.10035,3.9036,3.9036
18,3.00085,4.04383,4.04383
19,2.99895,3.98128,3.98128
20,2.88982,3.87443,3.87443
21,2.83433,3.84171,3.84171
22,2.76278,3.90588,3.90588
23,2.70428,3.76408,3.76408
24,2.65839,3.804,3.804
25,2.56645,3.70706,3.70706
26,2.56267,4.22368,4.22368
27,2.50286,3.66847,3.66847
28,2.4145,3.7001,3.7001
29,2.37947,3.77114,3.77114
30,2.34781,3.69916,3.69916
