epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,124.719,1.61965,0.49338,0.96379,1.34097,0.00999381,0.00333127,0.00999381,0.00333127,0.00999381,0.00333127,0.00999381,0.00333127
2,243.661,1.36808,0.5578,0.9812,1.17411,0.0197959,0.00659862,0.0197959,0.00659862,0.0197959,0.00659862,0.0197959,0.00659862
3,360.485,1.27865,0.57486,0.98538,1.10798,0.0293999,0.00979998,0.0293999,0.00979998,0.0293999,0.00979998,0.0293999,0.00979998
4,486.017,1.2251,0.5968,0.98642,1.07603,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,604.664,1.16159,0.61281,0.98851,1.02734,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,724.713,1.11631,0.62187,0.9899,1.00854,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,844.383,1.0953,0.62883,0.99234,0.97309,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,964.958,1.07249,0.63405,0.99234,0.97174,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1084.95,1.05176,0.65007,0.99025,0.93821,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1205.72,1.03604,0.64589,0.99199,0.95209,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1326.24,1.01766,0.65634,0.99373,0.93484,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1446.05,1.00625,0.65843,0.99373,0.92023,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1567.68,0.99479,0.67409,0.99408,0.89815,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1689.07,0.9892,0.66435,0.99478,0.8976,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1811.06,0.97634,0.66191,0.99443,0.8951,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1932.89,0.9704,0.67026,0.99478,0.88173,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2053.93,0.96323,0.66852,0.99443,0.88463,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2175.52,0.95008,0.68175,0.99687,0.86585,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2297.42,0.94852,0.67514,0.99547,0.87362,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2419.14,0.93722,0.67514,0.99513,0.86953,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2541.25,0.93478,0.67514,0.99513,0.86854,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2663.07,0.92605,0.68733,0.99304,0.85499,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2785.05,0.92002,0.6915,0.99443,0.8498,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2906.81,0.91169,0.68907,0.99478,0.85211,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3028.36,0.90852,0.69638,0.99373,0.84223,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3150.55,0.89855,0.69533,0.99373,0.84671,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3270.22,0.89136,0.69011,0.99408,0.8482,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3390.98,0.88615,0.69882,0.99373,0.83793,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3512.2,0.88071,0.70474,0.99408,0.83694,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3633.51,0.8724,0.70125,0.99478,0.84226,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3755,0.86974,0.70439,0.99443,0.84112,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3875.25,0.86758,0.70752,0.99547,0.83659,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3995.96,0.85851,0.70613,0.99513,0.83448,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4115.48,0.84839,0.70996,0.99513,0.83141,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4235.65,0.84863,0.70926,0.99547,0.82829,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4356.47,0.84261,0.71135,0.99582,0.8272,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4477.57,0.83275,0.71031,0.99513,0.82821,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4597.91,0.83316,0.70996,0.99547,0.83092,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4718.86,0.82828,0.71135,0.99513,0.82935,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4838.27,0.81751,0.7117,0.99513,0.82939,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4957.48,0.82002,0.71205,0.99513,0.82877,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5074.82,0.80746,0.70996,0.99513,0.82825,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5192.54,0.79633,0.70891,0.99513,0.8283,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5309.66,0.79134,0.70891,0.99513,0.83033,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5427.02,0.78972,0.70926,0.99513,0.83202,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5544.41,0.78493,0.70717,0.99513,0.83153,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5660.82,0.77845,0.70891,0.99513,0.83243,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5777.59,0.77447,0.70996,0.99547,0.83231,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5893.83,0.76475,0.71031,0.99547,0.83508,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6010.87,0.75971,0.70891,0.99513,0.8338,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6127.84,0.75001,0.71065,0.99513,0.83285,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6244.53,0.7517,0.70961,0.99513,0.83646,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6361.04,0.74223,0.70926,0.99478,0.83656,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6478.53,0.732,0.70891,0.99513,0.83572,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6595.72,0.73101,0.70961,0.99513,0.83613,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6712.87,0.72054,0.70961,0.99513,0.83543,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6829.36,0.71508,0.70857,0.99478,0.83664,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6945.31,0.71431,0.70717,0.99478,0.83782,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7063.74,0.70828,0.70752,0.99478,0.83821,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7185.24,0.70178,0.70613,0.99478,0.83804,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7310.81,0.69999,0.70752,0.99478,0.83815,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7438.61,0.68818,0.70752,0.99513,0.8382,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7565.7,0.67886,0.70787,0.99513,0.84024,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7695.31,0.67578,0.70648,0.99478,0.8416,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7824.83,0.665,0.70682,0.99478,0.84264,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7955.7,0.65371,0.70822,0.99478,0.84307,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
