epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,104.75,1.66414,0.46414,0.95299,1.42428,0.0016646,0.0016646,0.0683725
2,207.003,1.36604,0.53064,0.97597,1.22846,0.0032763,0.0032763,0.0366509
3,307.673,1.2358,0.57486,0.98189,1.12886,0.00483301,0.00483301,0.00487426
4,408.175,1.16402,0.60272,0.98642,1.05836,0.0047525,0.0047525,0.0047525
5,514.279,1.06925,0.61664,0.98642,1.03165,0.00467,0.00467,0.00467
6,622.449,1.02446,0.64206,0.98816,0.97104,0.0045875,0.0045875,0.0045875
7,734.105,0.98619,0.64485,0.99025,0.95224,0.004505,0.004505,0.004505
8,840.983,0.94694,0.65843,0.99234,0.92246,0.0044225,0.0044225,0.0044225
9,948.658,0.92033,0.66295,0.99025,0.93177,0.00434,0.00434,0.00434
10,1056.78,0.89348,0.66121,0.9906,0.92505,0.0042575,0.0042575,0.0042575
11,1165.31,0.87348,0.67409,0.9913,0.91733,0.004175,0.004175,0.004175
12,1273.94,0.85015,0.67584,0.99269,0.90236,0.0040925,0.0040925,0.0040925
13,1383.15,0.83066,0.67723,0.99269,0.88449,0.00401,0.00401,0.00401
14,1492.23,0.80715,0.68663,0.99304,0.8861,0.0039275,0.0039275,0.0039275
15,1601.76,0.78597,0.68454,0.99373,0.8789,0.003845,0.003845,0.003845
16,1711.42,0.77596,0.68384,0.99269,0.8868,0.0037625,0.0037625,0.0037625
17,1821.65,0.75498,0.68663,0.99338,0.88388,0.00368,0.00368,0.00368
18,1933.13,0.74161,0.68872,0.99513,0.88002,0.0035975,0.0035975,0.0035975
19,2043.68,0.72751,0.69603,0.99338,0.8787,0.003515,0.003515,0.003515
20,2153.95,0.70975,0.70265,0.99617,0.87871,0.0034325,0.0034325,0.0034325
21,2265.43,0.69133,0.69742,0.9906,0.88715,0.00335,0.00335,0.00335
22,2375.89,0.67731,0.70021,0.99234,0.87193,0.0032675,0.0032675,0.0032675
23,2486.96,0.66296,0.70648,0.99269,0.87461,0.003185,0.003185,0.003185
24,2598.83,0.65293,0.70648,0.99408,0.88356,0.0031025,0.0031025,0.0031025
25,2709.78,0.63855,0.70474,0.99338,0.89045,0.00302,0.00302,0.00302
26,2821.02,0.61418,0.71344,0.99199,0.88817,0.0029375,0.0029375,0.0029375
27,2932.8,0.60417,0.71205,0.99304,0.90226,0.002855,0.002855,0.002855
28,3044.47,0.58813,0.70857,0.99269,0.89817,0.0027725,0.0027725,0.0027725
29,3156.07,0.58012,0.70508,0.99443,0.9031,0.00269,0.00269,0.00269
30,3267.67,0.56493,0.70508,0.99408,0.90728,0.0026075,0.0026075,0.0026075
31,3379.11,0.55398,0.70822,0.99408,0.91428,0.002525,0.002525,0.002525
32,3491.08,0.5394,0.70787,0.99338,0.91789,0.0024425,0.0024425,0.0024425
33,3602.85,0.51819,0.70822,0.99304,0.92152,0.00236,0.00236,0.00236
34,3714.58,0.50429,0.70787,0.99304,0.92873,0.0022775,0.0022775,0.0022775
35,3826.44,0.49734,0.70822,0.99199,0.93173,0.002195,0.002195,0.002195
36,3938.53,0.48195,0.70752,0.99269,0.93656,0.0021125,0.0021125,0.0021125
37,4050.45,0.46315,0.7117,0.99269,0.94231,0.00203,0.00203,0.00203
38,4162.11,0.45823,0.7117,0.99234,0.94866,0.0019475,0.0019475,0.0019475
39,4274.23,0.44011,0.71518,0.99164,0.95271,0.001865,0.001865,0.001865
40,4385.97,0.42528,0.71274,0.99199,0.95691,0.0017825,0.0017825,0.0017825
41,4497.67,0.41589,0.71274,0.99234,0.96006,0.0017,0.0017,0.0017
42,4609.54,0.40685,0.7124,0.99164,0.96475,0.0016175,0.0016175,0.0016175
43,4721.31,0.38686,0.7117,0.99095,0.9682,0.001535,0.001535,0.001535
44,4833.64,0.38594,0.7124,0.99164,0.97144,0.0014525,0.0014525,0.0014525
45,4945.94,0.37108,0.71483,0.9913,0.97574,0.00137,0.00137,0.00137
46,5057.74,0.35632,0.71518,0.9913,0.97908,0.0012875,0.0012875,0.0012875
47,5169.5,0.34934,0.7124,0.9913,0.98217,0.001205,0.001205,0.001205
48,5281.87,0.33435,0.71309,0.9913,0.98508,0.0011225,0.0011225,0.0011225
49,5393.67,0.32847,0.71344,0.99164,0.98912,0.00104,0.00104,0.00104
50,5505.77,0.31663,0.71414,0.99164,0.9921,0.0009575,0.0009575,0.0009575
51,5617.75,0.30458,0.71518,0.99164,0.99368,0.000875,0.000875,0.000875
52,5729.76,0.29761,0.71657,0.99199,0.99816,0.0007925,0.0007925,0.0007925
53,5841.34,0.29174,0.71448,0.99164,0.99998,0.00071,0.00071,0.00071
54,5952.9,0.2762,0.71379,0.99164,1.00225,0.0006275,0.0006275,0.0006275
55,6064.38,0.2717,0.71518,0.99199,1.00697,0.000545,0.000545,0.000545
56,6175.92,0.26561,0.71623,0.99234,1.00851,0.0004625,0.0004625,0.0004625
57,6287.07,0.25677,0.71483,0.99234,1.01118,0.00038,0.00038,0.00038
58,6398.57,0.25099,0.71448,0.99164,1.01459,0.0002975,0.0002975,0.0002975
59,6510.21,0.24276,0.71379,0.99199,1.01851,0.000215,0.000215,0.000215
60,6625.59,0.23452,0.7124,0.99199,1.02078,0.0001325,0.0001325,0.0001325
